Duration: 0.367994 | Epoch 1 | Loss: 0.495315
Duration: 2.943351 | Epoch 11 | Loss: 0.000690
Duration: 2.687701 | Epoch 21 | Loss: 0.001050
Duration: 2.961884 | Epoch 31 | Loss: 0.000634
Duration: 2.844300 | Epoch 41 | Loss: 0.000426
Duration: 2.922986 | Epoch 51 | Loss: 0.000280
Duration: 3.287565 | Epoch 61 | Loss: 0.000721
Duration: 2.812117 | Epoch 71 | Loss: 0.000480
Duration: 2.960819 | Epoch 81 | Loss: 0.000597
Duration: 2.711479 | Epoch 91 | Loss: 0.000828
Duration: 2.894725 | Epoch 101 | Loss: 0.000654
Duration: 2.960266 | Epoch 111 | Loss: 0.000376
Duration: 2.961118 | Epoch 121 | Loss: 0.001290
Duration: 3.136940 | Epoch 131 | Loss: 0.000357
