Duration: 0.363997 | Epoch 1 | Loss: 0.276281
Duration: 2.951859 | Epoch 11 | Loss: 0.001361
Duration: 2.673970 | Epoch 21 | Loss: 0.001178
Duration: 2.912808 | Epoch 31 | Loss: 0.001778
Duration: 2.788556 | Epoch 41 | Loss: 0.000916
Duration: 2.809224 | Epoch 51 | Loss: 0.000484
Duration: 2.884881 | Epoch 61 | Loss: 0.000698
Duration: 2.656086 | Epoch 71 | Loss: 0.000747
Duration: 3.096381 | Epoch 81 | Loss: 0.001176
Duration: 2.723571 | Epoch 91 | Loss: 0.001482
Duration: 2.772308 | Epoch 101 | Loss: 0.000693
Duration: 2.754283 | Epoch 111 | Loss: 0.000291
Duration: 2.933239 | Epoch 121 | Loss: 0.002845
Duration: 2.832462 | Epoch 131 | Loss: 0.001774
Duration: 2.701144 | Epoch 141 | Loss: 0.000407
Duration: 2.857421 | Epoch 151 | Loss: 0.000633
Duration: 2.700862 | Epoch 161 | Loss: 0.000425
Duration: 2.778957 | Epoch 171 | Loss: 0.000279
Duration: 2.774840 | Epoch 181 | Loss: 0.000370
Duration: 2.980984 | Epoch 191 | Loss: 0.000514
Duration: 2.875818 | Epoch 201 | Loss: 0.000876
Duration: 2.608056 | Epoch 211 | Loss: 0.000726
Duration: 2.968167 | Epoch 221 | Loss: 0.000651
Duration: 2.831016 | Epoch 231 | Loss: 0.000829
Duration: 2.783585 | Epoch 241 | Loss: 0.000446
Duration: 2.749183 | Epoch 251 | Loss: 0.000583
Duration: 2.742432 | Epoch 261 | Loss: 0.000336
Duration: 2.856909 | Epoch 271 | Loss: 0.000861
Duration: 2.639784 | Epoch 281 | Loss: 0.000413
Duration: 2.945933 | Epoch 291 | Loss: 0.000238
Duration: 2.848791 | Epoch 301 | Loss: 0.000290
Duration: 2.773033 | Epoch 311 | Loss: 0.000723
Duration: 2.715135 | Epoch 321 | Loss: 0.000409
Duration: 2.840632 | Epoch 331 | Loss: 0.000460
Duration: 2.994977 | Epoch 341 | Loss: 0.000588
Duration: 2.676044 | Epoch 351 | Loss: 0.000201
Duration: 2.847868 | Epoch 361 | Loss: 0.000456
Duration: 2.657716 | Epoch 371 | Loss: 0.000350
Duration: 2.784472 | Epoch 381 | Loss: 0.000380
Duration: 2.705762 | Epoch 391 | Loss: 0.000790
Duration: 2.810683 | Epoch 401 | Loss: 0.000297
Duration: 3.044683 | Epoch 411 | Loss: 0.000526
Duration: 2.662750 | Epoch 421 | Loss: 0.000891
Duration: 2.978044 | Epoch 431 | Loss: 0.000717
Duration: 2.836231 | Epoch 441 | Loss: 0.000850
Duration: 2.934093 | Epoch 451 | Loss: 0.000358
Duration: 2.788127 | Epoch 461 | Loss: 0.000415
Duration: 2.856797 | Epoch 471 | Loss: 0.001494
Duration: 2.938462 | Epoch 481 | Loss: 0.000440
Duration: 2.731245 | Epoch 491 | Loss: 0.001212
Duration: 2.932440 | Epoch 501 | Loss: 0.001047
Duration: 2.883647 | Epoch 511 | Loss: 0.000834
Duration: 2.918313 | Epoch 521 | Loss: 0.000438
