/home/chetan/anaconda3/lib/python3.12/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
Duration: 0.356908 | Epoch 1 | Loss: 0.210274 | Test Success Rate: 0.000
Duration: 6.071666 | Epoch 21 | Loss: 0.000940 | Test Success Rate: 0.000
Duration: 6.227480 | Epoch 41 | Loss: 0.001717 | Test Success Rate: 0.000
Duration: 6.585160 | Epoch 61 | Loss: 0.001812 | Test Success Rate: 0.000
Duration: 6.206687 | Epoch 81 | Loss: 0.001394 | Test Success Rate: 0.000
Duration: 6.649090 | Epoch 101 | Loss: 0.000620 | Test Success Rate: 0.000
Duration: 6.206017 | Epoch 121 | Loss: 0.000629 | Test Success Rate: 0.500
Duration: 6.909188 | Epoch 141 | Loss: 0.000514 | Test Success Rate: 0.000
Duration: 7.475429 | Epoch 161 | Loss: 0.000271 | Test Success Rate: 0.000
Duration: 7.026981 | Epoch 181 | Loss: 0.000584 | Test Success Rate: 0.000
Duration: 6.922457 | Epoch 201 | Loss: 0.000772 | Test Success Rate: 0.100
Duration: 7.333461 | Epoch 221 | Loss: 0.000308 | Test Success Rate: 0.100
Duration: 6.923658 | Epoch 241 | Loss: 0.000562 | Test Success Rate: 0.000
Duration: 6.089391 | Epoch 261 | Loss: 0.001177 | Test Success Rate: 0.100
Duration: 6.629347 | Epoch 281 | Loss: 0.000451 | Test Success Rate: 0.000
Duration: 6.465496 | Epoch 301 | Loss: 0.000335 | Test Success Rate: 0.200
Duration: 6.908115 | Epoch 321 | Loss: 0.000357 | Test Success Rate: 0.000
Duration: 6.653823 | Epoch 341 | Loss: 0.000347 | Test Success Rate: 0.000
Duration: 6.503361 | Epoch 361 | Loss: 0.000777 | Test Success Rate: 0.000
Duration: 6.137760 | Epoch 381 | Loss: 0.000280 | Test Success Rate: 0.100
Duration: 6.967365 | Epoch 401 | Loss: 0.000659 | Test Success Rate: 0.000
Duration: 6.260403 | Epoch 421 | Loss: 0.000706 | Test Success Rate: 0.000
Duration: 6.294576 | Epoch 441 | Loss: 0.000465 | Test Success Rate: 0.100
Duration: 6.285356 | Epoch 461 | Loss: 0.000209 | Test Success Rate: 0.000
Duration: 7.689427 | Epoch 481 | Loss: 0.000457 | Test Success Rate: 0.000
Duration: 6.038000 | Epoch 501 | Loss: 0.000325 | Test Success Rate: 0.000
Duration: 6.874824 | Epoch 521 | Loss: 0.000310 | Test Success Rate: 0.000
Duration: 6.740795 | Epoch 541 | Loss: 0.000490 | Test Success Rate: 0.000
Duration: 6.253859 | Epoch 561 | Loss: 0.000964 | Test Success Rate: 0.000
Duration: 6.153460 | Epoch 581 | Loss: 0.000705 | Test Success Rate: 0.100
Duration: 6.826092 | Epoch 601 | Loss: 0.000719 | Test Success Rate: 0.000
Duration: 6.185460 | Epoch 621 | Loss: 0.000390 | Test Success Rate: 0.200
Duration: 7.059883 | Epoch 641 | Loss: 0.000605 | Test Success Rate: 0.000
Duration: 5.966592 | Epoch 661 | Loss: 0.000391 | Test Success Rate: 0.300
Duration: 6.834547 | Epoch 681 | Loss: 0.000240 | Test Success Rate: 0.000
Duration: 6.652159 | Epoch 701 | Loss: 0.000343 | Test Success Rate: 0.000
Duration: 6.504864 | Epoch 721 | Loss: 0.000361 | Test Success Rate: 0.100
Duration: 7.116044 | Epoch 741 | Loss: 0.001125 | Test Success Rate: 0.000
Duration: 6.123607 | Epoch 761 | Loss: 0.000667 | Test Success Rate: 0.000
Duration: 6.429021 | Epoch 781 | Loss: 0.000233 | Test Success Rate: 0.000
Duration: 6.254759 | Epoch 801 | Loss: 0.000299 | Test Success Rate: 0.000
Duration: 7.198083 | Epoch 821 | Loss: 0.000354 | Test Success Rate: 0.000
Duration: 5.918752 | Epoch 841 | Loss: 0.000790 | Test Success Rate: 0.200
Duration: 7.144755 | Epoch 861 | Loss: 0.000159 | Test Success Rate: 0.000
Duration: 6.427714 | Epoch 881 | Loss: 0.000223 | Test Success Rate: 0.000
Duration: 6.233234 | Epoch 901 | Loss: 0.000557 | Test Success Rate: 0.600
Duration: 7.252203 | Epoch 921 | Loss: 0.001399 | Test Success Rate: 0.000
Duration: 7.706003 | Epoch 941 | Loss: 0.000271 | Test Success Rate: 1.000
Duration: 6.980333 | Epoch 961 | Loss: 0.000848 | Test Success Rate: 0.000
Duration: 5.941231 | Epoch 981 | Loss: 0.000312 | Test Success Rate: 0.500
