Duration: 0.319257 | Epoch 1 | Loss: 0.854296
Duration: 2.200425 | Epoch 11 | Loss: 0.259856
Duration: 2.209945 | Epoch 21 | Loss: 0.247155
Duration: 2.254076 | Epoch 31 | Loss: 0.245039
Duration: 2.297457 | Epoch 41 | Loss: 0.240829
Duration: 2.205884 | Epoch 51 | Loss: 0.244282
Duration: 2.189141 | Epoch 61 | Loss: 0.238418
Duration: 2.265847 | Epoch 71 | Loss: 0.237654
Duration: 2.192649 | Epoch 81 | Loss: 0.236788
Duration: 2.247321 | Epoch 91 | Loss: 0.236253
Duration: 2.206122 | Epoch 101 | Loss: 0.236221
Duration: 2.198334 | Epoch 111 | Loss: 0.235606
Duration: 2.309444 | Epoch 121 | Loss: 0.235569
Duration: 2.195157 | Epoch 131 | Loss: 0.236166
Duration: 2.197093 | Epoch 141 | Loss: 0.235637
Duration: 2.195920 | Epoch 151 | Loss: 0.235292
Duration: 2.213961 | Epoch 161 | Loss: 0.235320
Duration: 2.258206 | Epoch 171 | Loss: 0.234409
Duration: 2.196342 | Epoch 181 | Loss: 0.233826
Duration: 2.169626 | Epoch 191 | Loss: 0.237225
Duration: 2.228621 | Epoch 201 | Loss: 0.234103
Duration: 2.204862 | Epoch 211 | Loss: 0.233491
Duration: 2.253947 | Epoch 221 | Loss: 0.233934
Duration: 2.186379 | Epoch 231 | Loss: 0.235474
Duration: 2.213639 | Epoch 241 | Loss: 0.233106
Duration: 2.212371 | Epoch 251 | Loss: 0.234385
Duration: 2.267792 | Epoch 261 | Loss: 0.233664
Duration: 2.183032 | Epoch 271 | Loss: 0.234172
Duration: 2.192572 | Epoch 281 | Loss: 0.233357
Duration: 2.213447 | Epoch 291 | Loss: 0.235028
Duration: 2.249418 | Epoch 301 | Loss: 0.232764
Duration: 2.198174 | Epoch 311 | Loss: 0.233632
Duration: 2.225587 | Epoch 321 | Loss: 0.232084
Duration: 2.188534 | Epoch 331 | Loss: 0.232613
Duration: 2.328993 | Epoch 341 | Loss: 0.233160
Duration: 2.236881 | Epoch 351 | Loss: 0.231373
Duration: 2.189821 | Epoch 361 | Loss: 0.231914
Duration: 2.216929 | Epoch 371 | Loss: 0.230682
Duration: 2.212971 | Epoch 381 | Loss: 0.230056
Duration: 2.336783 | Epoch 391 | Loss: 0.231004
Duration: 2.210437 | Epoch 401 | Loss: 0.229095
Duration: 2.208725 | Epoch 411 | Loss: 0.229136
Duration: 2.191692 | Epoch 421 | Loss: 0.232498
Duration: 2.186537 | Epoch 431 | Loss: 0.229322
Duration: 2.293011 | Epoch 441 | Loss: 0.229645
Duration: 2.198984 | Epoch 451 | Loss: 0.229529
Duration: 2.235442 | Epoch 461 | Loss: 0.230137
Duration: 2.282305 | Epoch 471 | Loss: 0.228263
Duration: 2.274105 | Epoch 481 | Loss: 0.228246
Duration: 2.252102 | Epoch 491 | Loss: 0.227665
Duration: 2.270060 | Epoch 501 | Loss: 0.229259
Duration: 2.211411 | Epoch 511 | Loss: 0.228443
Duration: 2.215408 | Epoch 521 | Loss: 0.228774
Duration: 2.278876 | Epoch 531 | Loss: 0.227097
Duration: 2.232826 | Epoch 541 | Loss: 0.227225
Duration: 2.234543 | Epoch 551 | Loss: 0.225434
Duration: 2.169945 | Epoch 561 | Loss: 0.227757
Duration: 2.275130 | Epoch 571 | Loss: 0.227585
Duration: 2.189651 | Epoch 581 | Loss: 0.225767
Duration: 2.199584 | Epoch 591 | Loss: 0.224981
Duration: 2.195476 | Epoch 601 | Loss: 0.224410
Duration: 2.263434 | Epoch 611 | Loss: 0.224574
Duration: 2.203927 | Epoch 621 | Loss: 0.223191
Duration: 2.185430 | Epoch 631 | Loss: 0.223938
Duration: 2.202422 | Epoch 641 | Loss: 0.224889
Duration: 2.191048 | Epoch 651 | Loss: 0.223536
Duration: 2.266412 | Epoch 661 | Loss: 0.223363
Duration: 2.195562 | Epoch 671 | Loss: 0.223006
Duration: 2.227137 | Epoch 681 | Loss: 0.223739
Duration: 2.208863 | Epoch 691 | Loss: 0.223197
Duration: 2.191975 | Epoch 701 | Loss: 0.223174
Duration: 2.272775 | Epoch 711 | Loss: 0.221728
Duration: 2.215082 | Epoch 721 | Loss: 0.223897
Duration: 2.204999 | Epoch 731 | Loss: 0.219380
Duration: 2.201737 | Epoch 741 | Loss: 0.220720
Duration: 2.188108 | Epoch 751 | Loss: 0.221307
Duration: 2.267859 | Epoch 761 | Loss: 0.219697
Duration: 2.289648 | Epoch 771 | Loss: 0.220536
Duration: 2.205801 | Epoch 781 | Loss: 0.219862
Duration: 2.202091 | Epoch 791 | Loss: 0.220151
Duration: 2.295280 | Epoch 801 | Loss: 0.219152
Duration: 2.205595 | Epoch 811 | Loss: 0.221072
Duration: 2.218760 | Epoch 821 | Loss: 0.218920
Duration: 2.196855 | Epoch 831 | Loss: 0.218098
Duration: 2.276693 | Epoch 841 | Loss: 0.217066
Duration: 2.204514 | Epoch 851 | Loss: 0.216831
Duration: 2.261145 | Epoch 861 | Loss: 0.217523
Duration: 2.202507 | Epoch 871 | Loss: 0.218056
Duration: 2.272328 | Epoch 881 | Loss: 0.216921
Duration: 2.281910 | Epoch 891 | Loss: 0.216812
Duration: 2.212768 | Epoch 901 | Loss: 0.216429
Duration: 2.222478 | Epoch 911 | Loss: 0.215411
Duration: 2.193062 | Epoch 921 | Loss: 0.216732
Duration: 2.308270 | Epoch 931 | Loss: 0.217583
Duration: 2.203951 | Epoch 941 | Loss: 0.216863
Duration: 2.241039 | Epoch 951 | Loss: 0.215629
Duration: 2.198557 | Epoch 961 | Loss: 0.215892
Duration: 2.204798 | Epoch 971 | Loss: 0.215377
Duration: 2.281587 | Epoch 981 | Loss: 0.215746
Duration: 2.233030 | Epoch 991 | Loss: 0.215201
