Duration: 0.344113 | Epoch 1 | Loss: 0.535891
Duration: 2.243767 | Epoch 11 | Loss: 0.254961
Duration: 2.286130 | Epoch 21 | Loss: 0.227815
Duration: 2.507135 | Epoch 31 | Loss: 0.222660
Duration: 2.313584 | Epoch 41 | Loss: 0.220314
Duration: 2.229033 | Epoch 51 | Loss: 0.219745
Duration: 2.330072 | Epoch 61 | Loss: 0.217049
Duration: 2.316997 | Epoch 71 | Loss: 0.214946
Duration: 2.243937 | Epoch 81 | Loss: 0.215978
Duration: 2.140985 | Epoch 91 | Loss: 0.214183
Duration: 2.300265 | Epoch 101 | Loss: 0.214630
Duration: 2.227142 | Epoch 111 | Loss: 0.211791
Duration: 2.240663 | Epoch 121 | Loss: 0.210767
Duration: 2.149248 | Epoch 131 | Loss: 0.211527
Duration: 2.156325 | Epoch 141 | Loss: 0.210826
Duration: 2.275800 | Epoch 151 | Loss: 0.211252
Duration: 2.250978 | Epoch 161 | Loss: 0.208548
Duration: 2.124728 | Epoch 171 | Loss: 0.211945
Duration: 2.170650 | Epoch 181 | Loss: 0.209094
Duration: 2.216381 | Epoch 191 | Loss: 0.209022
Duration: 2.077295 | Epoch 201 | Loss: 0.207798
Duration: 2.173560 | Epoch 211 | Loss: 0.208099
Duration: 2.090933 | Epoch 221 | Loss: 0.211543
Duration: 2.181418 | Epoch 231 | Loss: 0.209256
Duration: 2.234251 | Epoch 241 | Loss: 0.208684
Duration: 2.341641 | Epoch 251 | Loss: 0.207983
Duration: 2.170490 | Epoch 261 | Loss: 0.207660
Duration: 2.118016 | Epoch 271 | Loss: 0.206842
Duration: 2.173732 | Epoch 281 | Loss: 0.208235
Duration: 2.302847 | Epoch 291 | Loss: 0.207104
Duration: 2.259998 | Epoch 301 | Loss: 0.207623
Duration: 2.110913 | Epoch 311 | Loss: 0.206956
Duration: 2.080354 | Epoch 321 | Loss: 0.208937
Duration: 2.064478 | Epoch 331 | Loss: 0.207945
Duration: 2.109179 | Epoch 341 | Loss: 0.206222
Duration: 2.191249 | Epoch 351 | Loss: 0.206680
Duration: 2.194391 | Epoch 361 | Loss: 0.206867
Duration: 2.163635 | Epoch 371 | Loss: 0.206873
Duration: 2.157505 | Epoch 381 | Loss: 0.206451
Duration: 2.196868 | Epoch 391 | Loss: 0.205669
Duration: 2.215554 | Epoch 401 | Loss: 0.205505
Duration: 2.099427 | Epoch 411 | Loss: 0.205893
Duration: 2.093387 | Epoch 421 | Loss: 0.205953
Duration: 2.135041 | Epoch 431 | Loss: 0.208305
Duration: 2.195104 | Epoch 441 | Loss: 0.206103
Duration: 2.096094 | Epoch 451 | Loss: 0.204223
Duration: 2.153228 | Epoch 461 | Loss: 0.206473
Duration: 2.277833 | Epoch 471 | Loss: 0.204982
Duration: 2.156511 | Epoch 481 | Loss: 0.205540
Duration: 2.123520 | Epoch 491 | Loss: 0.205886
Duration: 2.150158 | Epoch 501 | Loss: 0.204746
Duration: 2.125702 | Epoch 511 | Loss: 0.205586
Duration: 2.168457 | Epoch 521 | Loss: 0.203939
Duration: 2.264997 | Epoch 531 | Loss: 0.204541
Duration: 2.183063 | Epoch 541 | Loss: 0.203018
Duration: 2.155674 | Epoch 551 | Loss: 0.204333
Duration: 2.302081 | Epoch 561 | Loss: 0.204146
Duration: 2.375254 | Epoch 571 | Loss: 0.204274
Duration: 2.303927 | Epoch 581 | Loss: 0.204682
Duration: 2.109872 | Epoch 591 | Loss: 0.202482
Duration: 2.084542 | Epoch 601 | Loss: 0.204356
Duration: 2.117492 | Epoch 611 | Loss: 0.203439
Duration: 2.153440 | Epoch 621 | Loss: 0.203657
Duration: 2.231433 | Epoch 631 | Loss: 0.202778
Duration: 2.118809 | Epoch 641 | Loss: 0.203411
Duration: 2.105645 | Epoch 651 | Loss: 0.202710
Duration: 2.100132 | Epoch 661 | Loss: 0.203581
Duration: 2.100181 | Epoch 671 | Loss: 0.201823
Duration: 2.095142 | Epoch 681 | Loss: 0.205386
Duration: 2.178033 | Epoch 691 | Loss: 0.202579
Duration: 2.187693 | Epoch 701 | Loss: 0.202535
Duration: 2.129616 | Epoch 711 | Loss: 0.201720
Duration: 2.206923 | Epoch 721 | Loss: 0.201059
Duration: 2.149420 | Epoch 731 | Loss: 0.200336
Duration: 2.179331 | Epoch 741 | Loss: 0.201710
Duration: 2.317143 | Epoch 751 | Loss: 0.200934
Duration: 2.341980 | Epoch 761 | Loss: 0.201188
Duration: 2.237028 | Epoch 771 | Loss: 0.201483
Duration: 2.140513 | Epoch 781 | Loss: 0.200716
Duration: 2.152102 | Epoch 791 | Loss: 0.199821
Duration: 2.110309 | Epoch 801 | Loss: 0.199818
Duration: 2.136518 | Epoch 811 | Loss: 0.200275
Duration: 2.104040 | Epoch 821 | Loss: 0.200363
Duration: 2.093638 | Epoch 831 | Loss: 0.200092
Duration: 2.154516 | Epoch 841 | Loss: 0.199930
Duration: 2.163637 | Epoch 851 | Loss: 0.198995
Duration: 2.167229 | Epoch 861 | Loss: 0.198954
Duration: 2.170592 | Epoch 871 | Loss: 0.200822
Duration: 2.139611 | Epoch 881 | Loss: 0.196823
Duration: 2.126433 | Epoch 891 | Loss: 0.198983
Duration: 2.192463 | Epoch 901 | Loss: 0.198772
Duration: 2.178422 | Epoch 911 | Loss: 0.199390
Duration: 2.125760 | Epoch 921 | Loss: 0.198847
Duration: 2.112386 | Epoch 931 | Loss: 0.201774
Duration: 2.105988 | Epoch 941 | Loss: 0.199709
Duration: 2.143637 | Epoch 951 | Loss: 0.199037
Duration: 2.133052 | Epoch 961 | Loss: 0.198446
Duration: 2.160939 | Epoch 971 | Loss: 0.199439
Duration: 2.135286 | Epoch 981 | Loss: 0.196071
Duration: 2.146475 | Epoch 991 | Loss: 0.198133
